date,open,high,low,close,volume
1665403200000,1.3657,1.3847,1.3523,1.355,17054.45655
1665417600000,1.355,1.3558,1.3339,1.3409,29255.40245
1665432000000,1.3409,1.3409,1.237,1.2636,207750.69685
1665446400000,1.2636,1.2716,1.2217,1.2325,100885.84755
1665460800000,1.2325,1.2497,1.2286,1.2401,18824.26875
1665475200000,1.2401,1.2423,1.2077,1.2278,15936.84215
1665489600000,1.2278,1.2497,1.205,1.2482,16312.61215
1665504000000,1.2482,1.2761,1.2376,1.2534,10752.48325
1665518400000,1.2534,1.2829,1.2515,1.2577,23098.30235
1665532800000,1.2577,1.2626,1.2334,1.2369,8144.25945
1665547200000,1.2369,1.2763,1.2356,1.2566,2992.8
1665561600000,1.2566,1.2696,1.2474,1.2506,2713.42485
1665576000000,1.2506,1.2531,1.2238,1.2416,17903.18065
1665590400000,1.2416,1.2451,1.2163,1.2196,8842.27555
